Disney+,Genres,Hulu,IMDb,Netflix,Prime Video,Rotten Tomatoes,Runtime,Title,Year,_id
false,"Animation,Adventure,Drama,Family,Fantasy",false,7.1,true,false,80,94,"Okko's Inn",2018,6163fd7662fe85987e167bde
false,"Animation,Adventure,Comedy,Family",false,6.4,true,false,80,90,The Willoughbys,2020,6163fd7662fe85987e167bdf
false,"Adventure,Comedy,Drama",true,7.9,true,false,80,101,Hunt for the Wilderpeople,2016,6163fd7662fe85987e167be0
false,"Adventure,Family,Fantasy,Romance",false,7.6,true,false,79,127,Stardust,2007,6163fd7662fe85987e167be1
false,"Action,Crime,Thriller",false,6.4,true,false,79,82,Wheelman,2017,6163fd7662fe85987e167be2
false,"Comedy,Drama,Romance",true,7.9,true,false,79,100,The Artist,2011,6163fd7662fe85987e167be3
false,"Biography,Drama",false,7.3,true,false,79,100,On My Skin,2018,6163fd7662fe85987e167be4
false,"Documentary,Music",false,7,true,false,79,100,Gaga: Five Foot Two,2017,6163fd7662fe85987e167be5
false,"Drama,Family,Fantasy,Mystery",false,7.5,true,false,79,126,Hugo,2011,6163fd7662fe85987e167be6
false,"Drama,History,Thriller",false,7.6,true,false,79,114,The Impossible,2012,6163fd7662fe85987e167be7
false,"Biography,Comedy,Crime,Drama,War",false,7.1,true,false,79,114,War Dogs,2016,6163fd7662fe85987e167be8
false,"Action,Biography,Drama,History",false,8,true,false,79,106,Ip Man,2008,6163fd7662fe85987e167be9
false,"Documentary,Short,Sport",false,7.4,true,false,79,39,The Speed Cubers,2020,6163fd7662fe85987e167bea
false,"Animation,Action,Adventure,Comedy,Family,Fantasy",false,7.2,true,false,79,90,Kung Fu Panda 2,2011,6163fd7662fe85987e167beb
false,"Biography,Comedy,Drama,Music",false,7,true,false,79,107,The Dirt,2019,6163fd7662fe85987e167bec
false,"Crime,Drama,Music,Mystery,Thriller",false,8.2,true,false,79,139,Andhadhun,2018,6163fd7662fe85987e167bed
false,"Drama,Mystery,Romance",false,6.7,true,false,79,106,Atlantics,2019,6163fd7662fe85987e167bee
false,Drama,false,7.3,true,false,79,115,37 Seconds,2019,6163fd7662fe85987e167bef
false,"Action,Crime,Drama",false,7.3,true,false,79,122,El Camino: A Breaking Bad Movie,2019,6163fd7662fe85987e167bf0
false,"Action,Fantasy,Thriller",true,7,true,true,79,121,Underworld,2003,6163fd7662fe85987e167bf1
false,"Horror,Mystery",false,7.1,true,true,79,115,The Ring,2002,6163fd7662fe85987e167bf2
false,"Action,Drama,Thriller",false,5.6,true,false,79,125,Hold the Dark,2018,6163fd7662fe85987e167bf3
false,"Action,Drama,Family,Sport",false,7.3,true,false,79,126,The Karate Kid,1984,6163fd7662fe85987e167bf4
false,"Crime,Drama,Mystery,Thriller",false,7.6,true,false,79,60,Quincy,2018,6163fd7662fe85987e167bf5
false,"Action,Drama,History,War",false,7.2,true,false,79,165,The Patriot,2000,6163fd7662fe85987e167bf6
false,"Drama,Horror,Thriller",false,5.6,true,false,79,97,Get In,2019,6163fd7662fe85987e167bf7
false,"Documentary,Biography,Music",false,7.5,true,false,79,91,"ZZ Top: That Little Ol' Band From Texas",2019,6163fd7662fe85987e167bf8
false,Comedy,false,7,true,false,79,62,Jerry Before Seinfeld,2017,6163fd7662fe85987e167bf9
false,Comedy,false,7.7,true,false,78,85,Mike Birbiglia: The New One,2019,6163fd7662fe85987e167bfa
false,"Animation,Drama",false,8.2,true,false,78,130,A Silent Voice: The Movie,2016,6163fd7662fe85987e167bfb
false,"Animation,Adventure,Comedy,Family",false,8.2,true,false,78,96,Klaus,2019,6163fd7662fe85987e167bfc
false,"Biography,Crime,Drama,Thriller",false,7.3,true,false,78,134,Snowden,2016,6163fd7662fe85987e167bfd
false,,false,7.7,true,false,78,,"Nick Kroll & John Mulaney: Oh, Hello on Broadway",2017,6163fd7662fe85987e167bfe
false,Drama,false,7.7,true,false,78,118,"What's Eating Gilbert Grape",1993,6163fd7662fe85987e167bff
false,"Mystery,Thriller",true,6.6,true,false,78,149,The Da Vinci Code,2006,6163fd7662fe85987e167c00
false,"Comedy,Drama,Fantasy,Romance",false,7.5,true,false,78,113,Stranger Than Fiction,2006,6163fd7662fe85987e167c01
false,"Action,Crime,Thriller",false,7.1,true,false,78,148,Don 2,2011,6163fd7662fe85987e167c02
false,"Crime,Drama,Thriller",false,7.6,true,false,78,109,Elena,2013,6163fd7662fe85987e167c03
false,"Action,Drama,Sci-Fi,Sport",false,7,true,false,78,127,Real Steel,2011,6163fd7662fe85987e167c04
false,"Biography,Drama",false,7.2,true,false,78,115,The Founder,2017,6163fd7662fe85987e167c05
false,"Action,Adventure,Drama,Sci-Fi",false,7.1,true,false,78,44,Stargate,1994,6163fd7662fe85987e167c06
false,Documentary,false,7.4,true,false,78,97,Shirkers,2018,6163fd7662fe85987e167c07
false,"Adventure,Comedy,Drama",false,7.3,true,false,78,114,Chef,2014,6163fd7662fe85987e167c08
false,"Documentary,History",false,7.7,true,false,78,87,Fire in the Blood,2013,6163fd7662fe85987e167c09
false,"Adventure,Comedy",false,7,true,false,78,94,Austin Powers: International Man of Mystery,1997,6163fd7662fe85987e167c0a
false,Biography,false,7.4,true,false,78,115,Miles Davis: Birth of the Cool,2019,6163fd7662fe85987e167c0b
false,"Horror,Mystery,Thriller",false,6.8,true,false,78,103,Insidious,2010,6163fd7662fe85987e167c0c
false,Documentary,false,7.1,true,false,78,105,Screwball,2019,6163fd7662fe85987e167c0d
false,"Action,Adventure,Fantasy,Thriller",false,6.7,true,false,78,125,The Old Guard,2020,6163fd7662fe85987e167c0e
false,"Animation,Adventure,Comedy,Family,Western",false,7.2,true,false,78,107,Rango,2011,6163fd7662fe85987e167c0f
false,"Drama,Fantasy,Horror,Thriller",false,6.2,true,false,78,97,Before I Wake,2016,6163fd7662fe85987e167c10
false,"Biography,Comedy,Drama",false,7.4,true,false,78,104,The Disaster Artist,2017,6163fd7662fe85987e167c11
false,"Biography,Crime,Drama,Romance",false,7.5,true,false,77,85,Fruitvale Station,2013,6163fd7662fe85987e167c12
