Apple,Disney+,Genres,HBO,Hulu,IMDb,Netflix,Prime Video,Rotten Tomatoes,Title,Year,_id
false,false,"Documentary,History",false,false,7.2,true,false,83,The Edge of Democracy,2019,6165e0ee8a2fde8299a2d263
false,false,"Crime,Drama,History,Thriller",false,false,6.8,true,false,83,22-Jul,2018,6165e0ee8a2fde8299a2d264
false,false,"Comedy,Music",false,false,7.6,true,false,83,Adam Sandler: 100% Fresh,2018,6165e0ee8a2fde8299a2d265
false,false,"Comedy,Drama",false,false,7.7,true,false,83,Guru,2007,6165e0ee8a2fde8299a2d266
false,false,"Biography,Crime,Drama,History",false,false,7.5,true,false,83,A Twelve-Year Night,2018,6165e0ee8a2fde8299a2d267
false,false,"Comedy,Drama",false,false,6.6,true,false,83,"Dumplin'",2018,6165e0ee8a2fde8299a2d268
false,false,"Horror,Mystery,Thriller",false,false,7.5,true,false,83,The Conjuring,2013,6165e0ee8a2fde8299a2d269
false,false,"Comedy,Drama,Romance",false,false,7.9,true,false,83,Marriage Story,2019,6165e0ee8a2fde8299a2d26a
false,false,Documentary,false,false,8.1,true,false,83,My Octopus Teacher,2020,6165e0ee8a2fde8299a2d26b
false,false,"Comedy,Drama,Fantasy,Romance,Sci-Fi",false,false,7.8,true,false,83,About Time,2013,6165e0ee8a2fde8299a2d26c
false,false,"Animation,Adventure,Comedy,Family,Fantasy",false,true,7.6,true,false,83,Hey Arnold! The Jungle Movie,2017,6165e0ee8a2fde8299a2d26d
false,false,"Animation,Action,Adventure,Comedy,Family",false,false,7.6,true,false,83,Kung Fu Panda,2008,6165e0ee8a2fde8299a2d26e
false,false,Comedy,false,false,7.6,true,false,83,Superbad,2007,6165e0ee8a2fde8299a2d26f
false,false,"Crime,Drama,Mystery,Thriller",false,false,8.1,true,false,83,The Invisible Guest,2016,6165e0ee8a2fde8299a2d270
false,false,"Drama,Mystery,Thriller",false,false,8.2,true,false,82,Chinatown,1974,6165e0ee8a2fde8299a2d271
false,false,"Crime,Drama,Mystery,Thriller",false,false,7.9,true,false,82,Mystic River,2003,6165e0ee8a2fde8299a2d272
false,false,"Biography,Drama,Romance",false,false,7.7,true,false,82,The Theory of Everything,2014,6165e0ee8a2fde8299a2d273
false,false,"Documentary,Music",false,false,8.5,true,false,82,Springsteen On Broadway,2018,6165e0ee8a2fde8299a2d274
false,false,Drama,false,false,6.8,true,false,82,The Life Ahead,2020,6165e0ee8a2fde8299a2d275
false,false,"Comedy,Drama,Romance",false,false,7.4,true,true,82,The Terminal,2004,6165e0ee8a2fde8299a2d276
false,false,"Action,Comedy,Fantasy,Romance",false,false,7.5,true,false,82,Scott Pilgrim vs. the World,2010,6165e0ee8a2fde8299a2d277
false,false,Documentary,false,false,7.6,true,false,82,"Being Elmo: A Puppeteer's Journey",2011,6165e0ee8a2fde8299a2d278
false,false,Comedy,false,false,8.1,true,false,82,Life of Brian,1979,6165e0ee8a2fde8299a2d279
false,false,"Biography,Drama,War",false,false,6.9,true,false,82,The Resistance Banker,2018,6165e0ee8a2fde8299a2d27a
false,false,"Animation,Action,Adventure,Family,Fantasy",false,false,7.8,true,false,82,How to Train Your Dragon 2,2014,6165e0ee8a2fde8299a2d27b
false,false,"Action,Drama,History,Thriller,War",false,false,7.2,true,false,82,The Endless Trench,2019,6165e0ee8a2fde8299a2d27c
false,false,"Drama,History",false,false,7.4,true,false,82,Even the Rain,2010,6165e0ee8a2fde8299a2d27d
false,false,"Comedy,Drama,Romance",false,false,7.6,true,false,82,Love Actually,2003,6165e0ee8a2fde8299a2d27e
false,false,"Comedy,Drama,Romance",false,false,7.4,true,false,82,Dear Ex,2018,6165e0ee8a2fde8299a2d27f
false,false,"Action,Thriller",false,false,5.9,true,false,82,Braven,2018,6165e0ee8a2fde8299a2d280
false,false,"Documentary,Short",false,false,7.4,true,false,82,Period. End of Sentence.,2018,6165e0ee8a2fde8299a2d281
false,false,"Comedy,Drama",false,false,7.9,true,false,82,Captain Fantastic,2016,6165e0ee8a2fde8299a2d282
false,false,Comedy,false,false,6.2,true,false,81,Veronica,2017,6165e0ee8a2fde8299a2d283
false,false,"Action,Drama,History,Thriller,War",false,false,7.2,true,false,81,The Siege of Jadotville,2016,6165e0ee8a2fde8299a2d284
false,false,Documentary,false,false,7.2,true,false,81,Into the Inferno,2016,6165e0ee8a2fde8299a2d285
false,false,Comedy,false,false,8,true,false,81,Ricky Gervais: Humanity,2018,6165e0ee8a2fde8299a2d286
false,false,"Animation,Adventure,Family,Fantasy,Romance",false,false,6.7,true,false,81,A Whisker Away,2020,6165e0ee8a2fde8299a2d287
false,false,"Comedy,Drama",false,false,7.4,true,false,81,Lady Bird,2017,6165e0ee8a2fde8299a2d288
false,false,"Crime,Drama,Thriller",false,false,7.7,true,false,81,Road to Perdition,2002,6165e0ee8a2fde8299a2d289
false,false,Drama,false,false,7.9,true,false,81,Boogie Nights,1997,6165e0ee8a2fde8299a2d28a
false,false,"Action,Sci-Fi,Thriller",false,false,7.5,true,false,81,Total Recall,1990,6165e0ee8a2fde8299a2d28b
false,false,"Comedy,Drama,Music",false,false,8.8,true,false,81,Bo Burnham: Inside,2021,6165e0ee8a2fde8299a2d28c
false,false,"Action,Drama,Sci-Fi,Thriller",false,false,7.1,true,false,81,Snowpiercer,2013,6165e0ee8a2fde8299a2d28d
false,false,"Documentary,Biography,History",false,false,7.1,true,false,81,Circus of Books,2019,6165e0ee8a2fde8299a2d28e
false,false,"Comedy,Drama,Romance",false,false,6.7,true,false,81,Tallulah,2016,6165e0ee8a2fde8299a2d28f
false,false,"Horror,Mystery,Thriller",false,false,7.3,true,false,81,The Conjuring 2,2016,6165e0ee8a2fde8299a2d290
false,false,Documentary,false,false,7.4,true,false,81,"They'll Love Me When I'm Dead",2018,6165e0ee8a2fde8299a2d291
false,false,"Drama,Thriller",false,false,7.5,true,false,81,Nocturnal Animals,2016,6165e0ee8a2fde8299a2d292
false,false,"Documentary,Biography",false,false,7.3,true,false,81,Get Me Roger Stone,2017,6165e0ee8a2fde8299a2d293
false,false,"Biography,Drama,Family",false,false,8.1,true,false,81,"Hachi: A Dog's Tale",2009,6165e0ee8a2fde8299a2d294
false,false,"Adventure,Drama,Western",false,false,8,true,false,80,Dances with Wolves,1990,6165e0ee8a2fde8299a2d295
false,false,"Action,Crime,Drama",false,false,7.8,true,false,80,Udta Punjab,2016,6165e0ee8a2fde8299a2d296
false,false,"Comedy,Romance",false,false,7.5,true,false,80,"Bareilly's Barfi",2017,6165e0ee8a2fde8299a2d297
false,false,"Crime,Drama",false,false,7.4,true,false,80,Divines,2016,6165e0ee8a2fde8299a2d298
false,false,"Comedy,Drama",false,false,7.3,true,false,80,Maktub,2017,6165e0ee8a2fde8299a2d299
false,false,"Crime,Mystery,Thriller",false,false,7.2,true,false,80,Ittefaq,2017,6165e0ee8a2fde8299a2d29a
false,false,"Documentary,Comedy",false,false,8.3,true,false,80,Hannah Gadsby: Nanette,2018,6165e0ee8a2fde8299a2d29b
false,false,Comedy,false,false,7.4,true,false,80,Ali Wong: Hard Knock Wife,2018,6165e0ee8a2fde8299a2d29c
false,false,Drama,false,false,7.6,true,true,80,Seven Pounds,2008,6165e0ee8a2fde8299a2d29d
false,false,"Crime,Drama,Thriller",false,false,7.4,true,false,80,Uncut Gems,2019,6165e0ee8a2fde8299a2d29e
false,false,"Drama,Thriller",false,false,6.7,true,false,80,The Kindergarten Teacher,2018,6165e0ee8a2fde8299a2d29f
false,false,"Drama,History,Musical,Romance,War",false,false,7.6,true,true,80,Les Misérables,2012,6165e0ee8a2fde8299a2d2a0
false,false,"Drama,Romance",false,false,7.6,true,false,80,The Sky Is Pink,2019,6165e0ee8a2fde8299a2d2a1
false,false,"Animation,Action,Adventure,Comedy,Family,Sci-Fi",false,false,6.6,true,false,80,Next Gen,2018,6165e0ee8a2fde8299a2d2a2
false,false,"Documentary,Comedy",false,false,7.6,true,false,80,Tom Segura: Disgraceful,2018,6165e0ee8a2fde8299a2d2a3
false,false,Drama,false,false,7.4,true,false,80,My Happy Family,2017,6165e0ee8a2fde8299a2d2a4
false,false,Documentary,false,false,6.6,true,false,80,The American Meme,2018,6165e0ee8a2fde8299a2d2a5
false,false,"Crime,Drama,Mystery,Thriller",false,false,7.8,true,false,80,Badla,2019,6165e0ee8a2fde8299a2d2a6
false,false,"Animation,Adventure,Drama,Family,Fantasy",false,false,7.1,true,false,80,"Okko's Inn",2018,6165e0ee8a2fde8299a2d2a7
false,false,"Animation,Adventure,Comedy,Family",false,false,6.4,true,false,80,The Willoughbys,2020,6165e0ee8a2fde8299a2d2a8
false,false,"Adventure,Comedy,Drama",false,true,7.9,true,false,80,Hunt for the Wilderpeople,2016,6165e0ee8a2fde8299a2d2a9
false,false,"Adventure,Family,Fantasy,Romance",false,false,7.6,true,false,79,Stardust,2007,6165e0ee8a2fde8299a2d2aa
false,false,"Action,Crime,Thriller",false,false,6.4,true,false,79,Wheelman,2017,6165e0ee8a2fde8299a2d2ab
false,false,"Comedy,Drama,Romance",false,true,7.9,true,false,79,The Artist,2011,6165e0ee8a2fde8299a2d2ac
false,false,"Biography,Drama",false,false,7.3,true,false,79,On My Skin,2018,6165e0ee8a2fde8299a2d2ad
false,false,"Documentary,Music",false,false,7,true,false,79,Gaga: Five Foot Two,2017,6165e0ee8a2fde8299a2d2ae
false,false,"Drama,Family,Fantasy,Mystery",false,false,7.5,true,false,79,Hugo,2011,6165e0ee8a2fde8299a2d2af
false,false,"Drama,History,Thriller",false,false,7.6,true,false,79,The Impossible,2012,6165e0ee8a2fde8299a2d2b0
false,false,"Biography,Comedy,Crime,Drama,War",false,false,7.1,true,false,79,War Dogs,2016,6165e0ee8a2fde8299a2d2b1
false,false,"Action,Biography,Drama,History",false,false,8,true,false,79,Ip Man,2008,6165e0ee8a2fde8299a2d2b2
false,false,"Documentary,Short,Sport",false,false,7.4,true,false,79,The Speed Cubers,2020,6165e0ee8a2fde8299a2d2b3
false,false,"Animation,Action,Adventure,Comedy,Family,Fantasy",false,false,7.2,true,false,79,Kung Fu Panda 2,2011,6165e0ee8a2fde8299a2d2b4
false,false,"Biography,Comedy,Drama,Music",false,false,7,true,false,79,The Dirt,2019,6165e0ee8a2fde8299a2d2b5
false,false,"Crime,Drama,Music,Mystery,Thriller",false,false,8.2,true,false,79,Andhadhun,2018,6165e0ee8a2fde8299a2d2b6
false,false,"Drama,Mystery,Romance",false,false,6.7,true,false,79,Atlantics,2019,6165e0ee8a2fde8299a2d2b7
false,false,Drama,false,false,7.3,true,false,79,37 Seconds,2019,6165e0ee8a2fde8299a2d2b8
false,false,"Action,Crime,Drama",false,false,7.3,true,false,79,El Camino: A Breaking Bad Movie,2019,6165e0ee8a2fde8299a2d2b9
false,false,"Action,Fantasy,Thriller",false,true,7,true,true,79,Underworld,2003,6165e0ee8a2fde8299a2d2ba
false,false,"Horror,Mystery",false,false,7.1,true,true,79,The Ring,2002,6165e0ee8a2fde8299a2d2bb
false,false,"Action,Drama,Thriller",false,false,5.6,true,false,79,Hold the Dark,2018,6165e0ee8a2fde8299a2d2bc
false,false,"Action,Drama,Family,Sport",false,false,7.3,true,false,79,The Karate Kid,1984,6165e0ee8a2fde8299a2d2bd
false,false,"Crime,Drama,Mystery,Thriller",false,false,7.6,true,false,79,Quincy,2018,6165e0ee8a2fde8299a2d2be
false,false,"Action,Drama,History,War",false,false,7.2,true,false,79,The Patriot,2000,6165e0ee8a2fde8299a2d2bf
false,false,"Drama,Horror,Thriller",false,false,5.6,true,false,79,Get In,2019,6165e0ee8a2fde8299a2d2c0
false,false,"Documentary,Biography,Music",false,false,7.5,true,false,79,"ZZ Top: That Little Ol' Band From Texas",2019,6165e0ee8a2fde8299a2d2c1
false,false,Comedy,false,false,7,true,false,79,Jerry Before Seinfeld,2017,6165e0ee8a2fde8299a2d2c2
false,false,Comedy,false,false,7.7,true,false,78,Mike Birbiglia: The New One,2019,6165e0ee8a2fde8299a2d2c3
false,false,"Animation,Drama",false,false,8.2,true,false,78,A Silent Voice: The Movie,2016,6165e0ee8a2fde8299a2d2c4
false,false,"Animation,Adventure,Comedy,Family",false,false,8.2,true,false,78,Klaus,2019,6165e0ee8a2fde8299a2d2c5
false,false,"Biography,Crime,Drama,Thriller",false,false,7.3,true,false,78,Snowden,2016,6165e0ee8a2fde8299a2d2c6
false,false,,false,false,7.7,true,false,78,"Nick Kroll & John Mulaney: Oh, Hello on Broadway",2017,6165e0ee8a2fde8299a2d2c7
false,false,Drama,false,false,7.7,true,false,78,"What's Eating Gilbert Grape",1993,6165e0ee8a2fde8299a2d2c8
false,false,"Mystery,Thriller",false,true,6.6,true,false,78,The Da Vinci Code,2006,6165e0ee8a2fde8299a2d2c9
false,false,"Comedy,Drama,Fantasy,Romance",false,false,7.5,true,false,78,Stranger Than Fiction,2006,6165e0ee8a2fde8299a2d2ca
false,false,"Action,Crime,Thriller",false,false,7.1,true,false,78,Don 2,2011,6165e0ee8a2fde8299a2d2cb
false,false,"Crime,Drama,Thriller",false,false,7.6,true,false,78,Elena,2013,6165e0ee8a2fde8299a2d2cc
false,false,"Action,Drama,Sci-Fi,Sport",false,false,7,true,false,78,Real Steel,2011,6165e0ee8a2fde8299a2d2cd
false,false,"Biography,Drama",false,false,7.2,true,false,78,The Founder,2017,6165e0ee8a2fde8299a2d2ce
false,false,"Action,Adventure,Drama,Sci-Fi",false,false,7.1,true,false,78,Stargate,1994,6165e0ee8a2fde8299a2d2cf
false,false,Documentary,false,false,7.4,true,false,78,Shirkers,2018,6165e0ee8a2fde8299a2d2d0
false,false,"Adventure,Comedy,Drama",false,false,7.3,true,false,78,Chef,2014,6165e0ee8a2fde8299a2d2d1
false,false,"Documentary,History",false,false,7.7,true,false,78,Fire in the Blood,2013,6165e0ee8a2fde8299a2d2d2
false,false,"Adventure,Comedy",false,false,7,true,false,78,Austin Powers: International Man of Mystery,1997,6165e0ee8a2fde8299a2d2d3
false,false,Biography,false,false,7.4,true,false,78,Miles Davis: Birth of the Cool,2019,6165e0ee8a2fde8299a2d2d4
false,false,"Horror,Mystery,Thriller",false,false,6.8,true,false,78,Insidious,2010,6165e0ee8a2fde8299a2d2d5
false,false,Documentary,false,false,7.1,true,false,78,Screwball,2019,6165e0ee8a2fde8299a2d2d6
false,false,"Action,Adventure,Fantasy,Thriller",false,false,6.7,true,false,78,The Old Guard,2020,6165e0ee8a2fde8299a2d2d7
false,false,"Animation,Adventure,Comedy,Family,Western",false,false,7.2,true,false,78,Rango,2011,6165e0ee8a2fde8299a2d2d8
false,false,"Drama,Fantasy,Horror,Thriller",false,false,6.2,true,false,78,Before I Wake,2016,6165e0ee8a2fde8299a2d2d9
false,false,"Biography,Comedy,Drama",false,false,7.4,true,false,78,The Disaster Artist,2017,6165e0ee8a2fde8299a2d2da
false,false,"Biography,Crime,Drama,Romance",false,false,7.5,true,false,77,Fruitvale Station,2013,6165e0ee8a2fde8299a2d2db
false,false,Drama,false,false,7.6,true,false,77,The Florida Project,2017,6165e0ee8a2fde8299a2d2dc
false,false,Documentary,false,false,6.5,true,false,77,Behind the Curve,2018,6165e0ee8a2fde8299a2d2dd
false,false,"Crime,Drama",false,false,7.3,true,false,77,Lawless,2012,6165e0ee8a2fde8299a2d2de
