Apple,Disney,Genres,HBO,Hulu,IMDb Rating,Netflix,Num Votes,Prime,Release Date,Title,Year,_id
false,1,"Comedy, Mystery, Sci-Fi",false,false,8,false,48351,false,1/5/2020,Upload,2020,61651abd8a2fde8299a2aa30
false,1,"Documentary, Reality-TV",false,false,9.1,false,23464,false,6/10/2021,"Clarkson's Farm",2021,61651abd8a2fde8299a2aa31
,,"Comedy, Drama, Romance",,,6.8,,3114,,6/12/2021,iCarly,2021,61651abd8a2fde8299a2aa32
false,1,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy, Horror, Mystery",false,false,8.2,false,6012,false,1/10/2020,The Owl House,2020,61651abd8a2fde8299a2aa33
false,0,"Comedy, Crime, Romance",false,false,8.5,true,10045,false,2/20/2021,Binsenjo,2021,61651abd8a2fde8299a2aa34
false,0,"Crime, Drama, Thriller",false,false,7.6,true,37136,false,1/1/2021,The Serpent,2021,61651abd8a2fde8299a2aa35
false,0,"Crime, Drama, Mystery, Thriller",false,false,7.9,true,23638,false,4/30/2021,El inocente,2021,61651abd8a2fde8299a2aa36
,,"Adventure, Comedy, Romance",,,8.7,,18895,,12/14/2019,Sa-rang-eui bul-sa-chak,2019,61651abd8a2fde8299a2aa37
false,0,"Documentary, History",false,false,8,true,7051,false,9/1/2021,Turning Point: 9/11 and the War on Terror,2021,61651abd8a2fde8299a2aa38
false,0,"Crime, Drama, Mystery",false,false,7.2,true,34969,false,2/21/2020,Hunters,2020,61651abd8a2fde8299a2aa39
false,1,Comedy,false,false,7.3,false,3453,false,1/22/2020,Awkwafina Is Nora from Queens,2020,61651abd8a2fde8299a2aa3a
,,"Crime, Drama, Mystery",,,6.5,,674,,8/17/2021,Annika,2021,61651abd8a2fde8299a2aa3b
,,Crime,,,6.5,,751,,9/10/2021,Wolfe,2021,61651abd8a2fde8299a2aa3c
,,"Comedy, Drama, Musical",,,8.1,,14010,,1/7/2020,"Zoey's Extraordinary Playlist",2020,61651abd8a2fde8299a2aa3d
true,0,"Crime, Drama, Mystery, Thriller",false,false,7.9,false,43480,false,4/24/2020,Defending Jacob,2020,61651abd8a2fde8299a2aa3e
false,0,"Action, Adventure, Drama, Fantasy",false,false,6.9,true,32961,false,1/22/2021,Fate: The Winx Saga,2021,61651abd8a2fde8299a2aa3f
false,0,Documentary,false,false,7.8,false,2261,true,8/17/2021,LuLaRich,2021,61651abd8a2fde8299a2aa40
,,"Action, Crime, Drama, Thriller",,,6,,180,,9/23/2021,Bangkok Breaking,2021,61651abd8a2fde8299a2aa41
false,0,"Action, Drama, Fantasy, Mystery, Thriller",false,false,7.5,true,33010,false,1/31/2020,Ragnarok,2020,61651abd8a2fde8299a2aa42
,,Drama,,,9.7,,285762,,4/7/2021,Aspirants,2021,61651abd8a2fde8299a2aa43
,,"Comedy, Drama",,,6.1,,82,,10/10/2021,The Larkins,2021,61651abd8a2fde8299a2aa44
true,0,"Comedy, Drama",false,false,7.3,false,5516,false,6/18/2021,Physical,2021,61651abd8a2fde8299a2aa45
false,0,"Action, Adventure, Drama, Fantasy, Sci-Fi",false,false,6.7,true,34141,false,5/7/2021,"Jupiter's Legacy",2021,61651abd8a2fde8299a2aa46
false,0,"Crime, Drama, Mystery, Thriller",false,false,7.3,true,40246,false,1/30/2020,The Stranger,2020,61651abd8a2fde8299a2aa47
,,"Short, Comedy, Fantasy",,,7.4,,916,,6/29/2020,Home Movie: The Princess Bride,2020,61651abd8a2fde8299a2aa48
false,0,"Drama, Mystery, Thriller",false,false,6.5,true,4710,false,7/15/2020,Dark Desire,2020,61651abd8a2fde8299a2aa49
false,0,"Drama, Romance",false,false,8.6,true,21481,false,7/1/2021,Young Royals,2021,61651abd8a2fde8299a2aa4a
,,"Biography, Drama",,,7.5,,12033,,5/14/2021,Halston,2021,61651abd8a2fde8299a2aa4b
,,Comedy,,,6.3,,3143,,1/7/2021,Mr. Mayor,2021,61651abd8a2fde8299a2aa4c
,,Comedy,,,8,,543,,4/7/2020,"Alma's Not Normal",2020,61651abd8a2fde8299a2aa4d
,,Thriller,,,8.7,,12192,,9/8/2021,Candy,2021,61651abd8a2fde8299a2aa4e
false,0,"Drama, Mystery, Sci-Fi, Thriller",false,false,7,true,10585,false,6/17/2021,Katla,2021,61651abd8a2fde8299a2aa4f
false,0,"Animation, Action, Adventure, Fantasy, Sci-Fi",false,false,5.1,true,22336,false,7/23/2021,Masters of the Universe: Revelation,2021,61651abd8a2fde8299a2aa50
,,Comedy,,,8.5,,1569,,12/23/2019,The Goes Wrong Show,2019,61651abd8a2fde8299a2aa51
false,0,"Comedy, Drama, History",true,false,8.7,false,24829,false,1/22/2021,"It's a Sin",2021,61651abd8a2fde8299a2aa52
,,"Action, Drama",,,8.9,,4407,,8/20/2021,Cartel,2021,61651abd8a2fde8299a2aa53
,,Comedy,,,7.2,,6968,,2/16/2021,Young Rock,2021,61651abd8a2fde8299a2aa54
false,0,"Drama, Romance",false,false,6.3,true,192,false,9/30/2021,Luna Park,2021,61651abd8a2fde8299a2aa55
false,0,Comedy,false,false,6.7,true,50436,false,5/29/2020,Space Force,2020,61651abd8a2fde8299a2aa56
,,Thriller,,,6.5,,446,,10/3/2021,Ridley Road,2021,61651abd8a2fde8299a2aa57
false,0,"Crime, Drama",false,false,7.7,true,4180,false,4/29/2020,Extracurricular,2020,61651abd8a2fde8299a2aa58
false,0,"Drama, Horror, Thriller",false,false,7.3,false,15936,true,3/18/2021,Them,2021,61651abd8a2fde8299a2aa59
,,"Crime, Drama",,,6.9,,4408,,9/6/2020,Power Book II: Ghost,2020,61651abd8a2fde8299a2aa5a
false,0,Drama,false,false,7.4,true,2609,false,2/21/2021,La cocinera de Castamar,2021,61651abd8a2fde8299a2aa5b
,,"Comedy, Romance",,,7.5,,6971,,7/8/2020,Sen �al Kapimi,2020,61651abd8a2fde8299a2aa5c
,,"Drama, Fantasy, Mystery, Sci-Fi, Thriller",,,7.2,,1701,,7/16/2021,SurrealEstate,2021,61651abd8a2fde8299a2aa5d
,,"Drama, Mystery, Sci-Fi, Thriller",,,7.7,,32546,,2020-03-05h,Devs,2020,61651abd8a2fde8299a2aa5e
,,"Crime, Drama, History, Thriller",,,7.7,,14270,,9/14/2020,Des,2020,61651abd8a2fde8299a2aa5f
false,0,Drama,false,false,8.6,true,3430,false,5/14/2021,Move to Heaven,2021,61651abd8a2fde8299a2aa60
,,"Crime, Drama",,,7.5,,16887,,6/21/2020,Perry Mason,2020,61651abd8a2fde8299a2aa61
