Title,Year,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,HBO,Apple,Genres
A Whisker Away,2020,6.7,81,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Animation,Adventure,Family,Fantasy,Romance"
Lady Bird,2017,7.4,81,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Drama"
Road to Perdition,2002,7.7,81,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Crime,Drama,Thriller"
Boogie Nights,1997,7.9,81,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Drama
Total Recall,1990,7.5,81,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Sci-Fi,Thriller"
Bo Burnham: Inside,2021,8.8,81,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Drama,Music"
Snowpiercer,2013,7.1,81,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Drama,Sci-Fi,Thriller"
Circus of Books,2019,7.1,81,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Documentary,Biography,History"
Tallulah,2016,6.7,81,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Drama,Romance"
The Conjuring 2,2016,7.3,81,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Horror,Mystery,Thriller"
They'll Love Me When I'm Dead,2018,7.4,81,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Documentary
Nocturnal Animals,2016,7.5,81,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Thriller"
Get Me Roger Stone,2017,7.3,81,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Documentary,Biography"
Hachi: A Dog's Tale,2009,8.1,81,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Biography,Drama,Family"
Dances with Wolves,1990,8,80,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Adventure,Drama,Western"
Udta Punjab,2016,7.8,80,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Crime,Drama"
Bareilly's Barfi,2017,7.5,80,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Romance"
Divines,2016,7.4,80,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Crime,Drama"
Maktub,2017,7.3,80,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Drama"
Ittefaq,2017,7.2,80,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Crime,Mystery,Thriller"
