_id,Title,Year,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,HBO,Apple,Genres
6165e0ee8a2fde8299a2d359,Nobody Knows I'm Here,2020,6.5,74,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Music"
6165e0ee8a2fde8299a2d35d,Mank,2020,6.9,74,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Biography,Comedy,Drama"
6165e0ee8a2fde8299a2d35e,"Extremely Wicked, Shockingly Evil and Vile",2019,6.7,74,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Biography,Crime,Drama,Thriller"
6165e0ee8a2fde8299a2d360,Between Two Ferns: The Movie,2019,6.1,74,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Comedy
6165e0ee8a2fde8299a2d367,Lost Bullet,2020,6.2,73,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Crime,Thriller"
6165e0ee8a2fde8299a2d36a,Soni,2019,7.1,73,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Crime,Drama"
6165e0ee8a2fde8299a2d370,Let It Snow,2019,5.8,73,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Romance"
6165e0ee8a2fde8299a2d371,The Babysitter: Killer Queen,2020,5.8,73,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Horror"
6165e0ee8a2fde8299a2d374,Spelling the Dream,2020,6.9,73,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Documentary
6165e0ee8a2fde8299a2d375,Knock Down the House,2019,7.1,73,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Documentary
6165e0ee8a2fde8299a2d377,Polar,2019,6.3,73,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Crime,Drama,Thriller"
6165e0ee8a2fde8299a2d37b,Spenser Confidential,2020,6.2,73,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Comedy,Crime,Drama,Mystery,Thriller"
6165e0ee8a2fde8299a2d380,The Highwaymen,2019,6.9,73,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Biography,Crime,Drama,Mystery,Thriller"
6165e0ee8a2fde8299a2d382,Holidate,2020,6.1,73,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Romance"
6165e0ee8a2fde8299a2d38f,The Professor and the Madman,2019,7.3,73,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Biography,Drama"
6165e0ee8a2fde8299a2d392,Fractured,2019,6.4,73,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Mystery,Thriller"
6165e0ee8a2fde8299a2d3a7,The Perfect Date,2019,5.8,72,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Romance"
6165e0ee8a2fde8299a2d3a8,Code 8,2019,6.1,72,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Crime,Drama,Sci-Fi,Thriller"
6165e0ee8a2fde8299a2d3ba,Triple Frontier,2019,6.4,72,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Adventure,Crime,Thriller"
6165e0ee8a2fde8299a2d3be,Freaks,2019,6.7,72,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Mystery,Sci-Fi,Thriller"
6165e0ee8a2fde8299a2d3c0,Horse Girl,2020,6,72,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Mystery,Thriller"
6165e0ee8a2fde8299a2d3c2,Hillbilly Elegy,2020,6.7,72,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Drama
6165e0ee8a2fde8299a2d3c8,I'm Thinking of Ending Things,2020,6.6,71,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Thriller"
6165e0ee8a2fde8299a2d3d3,After,2019,5.3,71,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Romance"
6165e0ee8a2fde8299a2d3d7,Velvet Buzzsaw,2019,5.7,71,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Horror,Mystery,Thriller"
6165e0ee8a2fde8299a2d3dd,"Live Twice, Love Once",2019,7.2,71,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Drama"
6165e0ee8a2fde8299a2d3e4,The Outpost,2019,6.8,71,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Adventure,Drama,Fantasy"
6165e0ee8a2fde8299a2d3e5,Kabir Singh,2019,7.1,71,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Drama,Romance"
6165e0ee8a2fde8299a2d3e6,Homecoming: A Film by Beyoncé,2019,7.5,71,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Documentary,Music"
6165e0ee8a2fde8299a2d3e7,Jerry Seinfeld: 23 Hours to Kill,2020,6.7,71,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Comedy
6165e0ee8a2fde8299a2d3e8,Ip Man 4: The Finale,2019,7,71,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Action,Biography,Drama,History"
6165e0ee8a2fde8299a2d3e9,The Laundromat,2019,6.3,71,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Comedy,Crime,Drama,History"
6165e0ee8a2fde8299a2d3eb,Bad Trip,2020,6.6,71,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Comedy
6165e0ee8a2fde8299a2d3ef,The Midnight Sky,2020,5.6,71,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Fantasy,Sci-Fi,Thriller"
6165e0ee8a2fde8299a2d3f2,Synchronic,2020,6.2,71,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Drama,Sci-Fi,Thriller"
6165e0ee8a2fde8299a2d3f4,The Game Changers,2019,7.9,70,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Documentary
6165e0ee8a2fde8299a2d3f5,Michelle Wolf: Joke Show,2019,7.2,70,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Comedy
6165e0ee8a2fde8299a2d3f6,Da 5 Bloods,2020,6.5,70,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Adventure,Drama,War"
6165e0ee8a2fde8299a2d3f8,The Best of Enemies,2019,7.2,70,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Biography,Drama,History"
