Genres,Hulu,IMDb,Rotten Tomatoes,Title,Year,_id
"Biography,Drama,Romance",true,5.8,58,Vita & Virginia,2019,616528458a2fde8299a2bb3c
"Drama,Horror",true,5.2,58,The Other Lamb,2020,616528458a2fde8299a2bb43
"Documentary,Biography,History,Music",true,7.3,58,Once Were Brothers: Robbie Robertson and The Band,2020,616528458a2fde8299a2bb46
"Documentary,Biography,Music",true,7.9,58,Crock of Gold: A Few Rounds with Shane MacGowan,2020,616528458a2fde8299a2bb4b
"Horror,Mystery,Thriller",true,5.3,57,Body Cam,2020,616528458a2fde8299a2bb58
"Drama,Fantasy,Romance,Sport",true,6,57,Above the Shadows,2019,616528458a2fde8299a2bb59
"Action,Adventure,Drama,Sci-Fi",true,6.2,57,Gundala,2019,616528458a2fde8299a2bb5d
Documentary,true,7,57,Rebuilding Paradise,2020,616528458a2fde8299a2bb5f
"Comedy,Romance",true,5.5,57,Valley Girl,2020,616528458a2fde8299a2bb64
"Action,Horror,Thriller",true,4,57,Rogue,2020,616528458a2fde8299a2bb69
"Animation,Adventure,Comedy,Sci-Fi",true,6.6,56,Astro Kid,2019,616528458a2fde8299a2bb70
Documentary,true,7.3,56,Superpower Dogs,2019,616528458a2fde8299a2bb71
Drama,true,6.7,56,Diane,2019,616528458a2fde8299a2bb72
"Comedy,Crime,Drama,Fantasy,Thriller",true,6.1,56,Judy & Punch,2019,616528458a2fde8299a2bb78
"Documentary,Crime,History",true,7.3,56,Sea of Shadows,2019,616528458a2fde8299a2bb80
Documentary,true,6.7,56,Skin: A History of Nudity in the Movies,2020,616528458a2fde8299a2bb84
"Comedy,Romance",true,5.1,56,A Nice Girl Like You,2020,616528458a2fde8299a2bb86
"Action,Crime,Drama,History,Thriller",true,5.5,56,Vault,2019,616528458a2fde8299a2bb87
"Biography,Drama,History,War",true,5.4,55,Robert the Bruce,2019,616528458a2fde8299a2bb92
"Comedy,Drama,Romance",true,6.4,55,Breaking Fast,2020,616528458a2fde8299a2bb93
"Horror,Mystery",true,4.8,55,Amulet,2020,616528458a2fde8299a2bb96
"Drama,Mystery",true,6.6,55,Out Stealing Horses,2019,616528458a2fde8299a2bb97
"Drama,Thriller",true,5.4,55,Donnybrook,2019,616528458a2fde8299a2bb9c
"Drama,Thriller",true,5.4,55,An Acceptable Loss,2019,616528458a2fde8299a2bb9e
Documentary,true,6.2,55,Notturno,2020,616528458a2fde8299a2bba0
"Crime,Drama,Mystery,Thriller",true,5.4,55,Pledge,2019,616528458a2fde8299a2bba4
"Action,Thriller",true,5.1,55,Exit Plan,2019,616528458a2fde8299a2bba5
"Drama,Thriller",true,4.3,55,Centigrade,2020,616528458a2fde8299a2bba7
"Drama,Fantasy,Horror,Mystery,Sci-Fi,Thriller",true,6.7,55,A Nasty Piece of Work,2019,616528458a2fde8299a2bba8
Drama,true,5.8,55,Wander Darkly,2020,616528458a2fde8299a2bbac
"Drama,Horror,Mystery,Thriller",true,4,55,Wounds,2019,616528458a2fde8299a2bbad
