Genres,IMDb,Netflix,Rotten Tomatoes,Title,Year
"Documentary,Biography,Sport",6.8,true,51,A Life of Speed: The Juan Manuel Fangio Story,2020
"Animation,Adventure,Comedy,Family,Fantasy,Sci-Fi",5.6,true,51,Jungle Beat: The Movie,2020
Drama,5.8,true,51,What We Wanted,2020
Comedy,7.2,true,51,Michael McIntyre: Showman,2020
Sport,5.9,true,51,Lady Driver,2020
Comedy,5.6,true,51,"Sarah Cooper: Everything's Fine",2020
Comedy,4.4,true,51,Guest House,2020
"Adventure,Comedy,Drama",6.4,true,51,Kilometers and Kilometers,2020
Comedy,7.2,true,51,"Tom Papa: You're Doing Great!",2020
"Action,Drama,Thriller",5.5,true,51,Black Beach,2020
"Drama,Romance",5.4,true,51,Roped,2020
Animation,6,true,51,Masameer: The Movie,2020
"Crime,Drama,Mystery,Thriller",5.9,true,51,DNA,2020
"Comedy,Drama,Romance",4.7,true,51,Love Aaj Kal,2020
Comedy,6.5,true,51,Sam Jay: 3 in the Morning,2020
"Action,Comedy,Family,Fantasy,Sport",4.8,true,51,The Main Event,2020
"Comedy,Drama",7,true,51,Chaman Bahar,2020
"Action,Comedy,Crime",5.1,true,51,Coffee & Kareem,2020
"Horror,Mystery,Thriller",5.3,true,50,The Bridge Curse,2020
"Comedy,Drama",6.2,true,50,Door Ke Darshan,2020
Comedy,7.1,true,50,Michelle Buteau: Welcome to Buteaupia,2020
"Animation,Adventure,Comedy,Drama,Family",7.1,true,50,"Angela's Christmas Wish",2020
"Comedy,Romance",4.4,true,50,Seriously Single,2020
"Action,Thriller",6.9,true,50,Cops and Robbers,2020
Drama,7.5,true,50,Sitting in Limbo,2020
"Action,Comedy",5.1,true,50,Asphalt Burning,2020
"Comedy,Drama",4.3,true,50,Friendsgiving,2020
"Drama,Mystery",5.6,true,50,Tragic Jungle,2020
"Adventure,Horror,Sci-Fi",5.2,true,50,The Beast,2020
"Crime,Thriller",5.4,true,50,Intuition,2020
Thriller,6.4,true,50,The Stand at Paxton County,2020
Documentary,6.3,true,49,Born to Play,2020
Drama,4.9,true,49,Milkwater,2020
Documentary,7.7,true,49,Picture a Scientist,2020
"Documentary,Music",6.6,true,49,Shawn Mendes: In Wonder,2020
"Drama,Thriller",6.2,true,49,Citation,2020
Documentary,6.8,true,49,Making the Witcher,2020
"Animation,Short,Adventure,Comedy,Family,Fantasy,Sci-Fi",6.2,true,49,Alien Xmas,2020
Romance,5,true,49,World Famous Lover,2020
"Comedy,Drama,Romance",5.4,true,49,Under the Riccione Sun,2020
"Action,Comedy,Crime,Fantasy",5.8,true,49,Maska,2020
"Animation,Musical",5.6,true,49,Barbie: Princess Adventure,2020
Comedy,5.1,true,48,The F**k-It List,2020
"Drama,Romance",5.1,true,48,Namaste Wahala,2020
Comedy,7.3,true,48,"Yours Sincerely, Kanan Gill",2020
"Crime,Drama,Thriller",4.8,true,48,Mrs. Serial Killer,2020
"Drama,Thriller",3.5,true,48,John Henry,2020
Drama,6.5,true,48,Milestone,2020
"Crime,Drama,Thriller",4.3,true,48,The Last Thing He Wanted,2020
Drama,6.4,true,48,Quiet,2020
"Documentary,Family",7.1,true,48,Dance Dreams: Hot Chocolate Nutcracker,2020
Thriller,6.8,true,48,40 Sticks,2020
"Comedy,Drama,Family",5.7,true,48,Dad Wanted,2020
Comedy,5,true,48,Airplane Mode,2020
"Music,Musical",7.5,true,48,Qlimax - The Source,2020
Animation,5.2,true,47,"Xico's Journey",2020
Music,7.4,true,47,Shawn Mendes: Live in Concert,2020
"Biography,Comedy,Drama,Romance",6.9,true,47,#FriendButMarried 2,2020
Comedy,7.6,true,47,Rhys Nicholson: Live at the Athenaeum,2020
"Documentary,Biography,Music",6.5,true,47,Nasha Natasha,2020
"Action,Comedy",3.5,true,47,Bulletproof 2,2020
Comedy,6.1,true,47,Kenny Sebastian: The Most Interesting Person in the Room,2020
Comedy,5.2,true,47,So Much Love to Give,2020
"Adventure,Family,Fantasy",5.5,true,47,Wish Upon a Unicorn,2020
"Documentary,History",7.4,true,47,9to5: The Story of a Movement,2020
Documentary,7.8,true,47,Lift Like a Girl,2020
"Comedy,Crime,Drama",5.7,true,47,Dogwashers,2020
"Action,Comedy,Family",4.8,true,47,Malibu Rescue: The Next Wave,2020
"Drama,Horror,Thriller",4.7,true,47,The Binding,2020
Documentary,7.7,true,47,Elizabeth and Margaret: Love and Loyalty,2020
"Comedy,Drama",6.2,true,47,Four Sisters Before the Wedding,2020
"Animation,Adventure,Comedy",5.1,true,47,The Larva Island Movie,2020
Drama,6.5,true,46,"The Fisherman's Diary",2020
Comedy,5.5,true,46,Best of Stand-up 2020,2020
Comedy,5.8,true,46,Tell Me When,2020
Documentary,5.6,true,46,Not a Game,2020
Comedy,4.2,true,46,"So My Grandma's a Lesbian!",2020
"Drama,Romance",6.1,true,46,Romance Doll,2020
"Drama,Horror,Thriller",4.9,true,46,The Day of the Lord,2020
"Comedy,Romance",4.6,true,46,Shimla Mirchi,2020
"Animation,Adventure,Comedy,Family",5.5,true,46,Dragons: Rescue Riders: Secrets of the Songwing,2020
Thriller,4.5,true,46,Fatal Affair,2020
"Action,Crime,Drama,Thriller",4.9,true,46,Earth and Blood,2020
"Action,Crime,Drama,Mystery,Thriller",4.7,true,46,Sol Levante,2020
Documentary,5.3,true,46,#cats_the_mewvie,2020
"Animation,Family,Fantasy,Mystery,Romance",6.5,true,46,You Are My Home,2020
"Animation,Adventure,Comedy,Family,Fantasy,History,Musical",6.2,true,46,The Knight & The Princess,2020
"Action,Crime,Drama,Sci-Fi,Thriller",3.7,true,46,The Last Days of American Crime,2020
"Action,Adventure,Drama,Sport,Thriller",6.5,true,46,Tarung Sarung,2020
Comedy,5.4,true,45,Wheels of Fortune,2020
Action,3.4,true,45,I Am Vengeance: Retaliation,2020
Comedy,6.6,true,45,Thiago Ventura: POKAS,2020
"Animation,Family",5.6,true,45,A Trash Truck Christmas,2020
Comedy,3.7,true,45,Leyla Everlasting,2020
Comedy,6.7,true,45,Afonso Padilha: Classless,2020
"Comedy,Music",5.5,true,45,Fierce,2020
"Animation,Adventure,Family",5.5,true,45,Dragons: Rescue Riders: Hunt for the Golden Dragon,2020
"Drama,Romance",6.3,true,45,Milea,2020
Comedy,7,true,45,Dr Jason Leong: Hashtag Blessed,2020
Comedy,6,true,45,Felix Lobrecht: Hype,2020
"Adventure,Drama,Fantasy,Romance",5,true,45,Love Like the Falling Rain,2020
"Comedy,Drama,Music",6,true,44,Bhangra Paa Le,2020
"Comedy,Crime,Thriller",4.8,true,44,Christmas Crossfire,2020
"Drama,Music,Romance",5.3,true,44,Into the Beat,2020
"Action,Crime,Drama",3.8,true,44,Santana,2020
"Drama,Romance",5.7,true,44,Jezebel,2020
Comedy,6.2,true,44,Urzila Carlson: Overqualified Loser,2020
"Documentary,Short",6.9,true,44,The Claudia Kishi Club,2020
Reality-TV,7.3,true,44,Sugar High,2020
Comedy,6.7,true,44,Larry The Cable Guy: Remain Seated,2020
"Documentary,Short,Drama",7.1,true,44,Rooting for Roona,2020
"Comedy,Romance",5.8,true,44,"You've Got This",2020
Comedy,4.1,true,44,Mutiny of the Worker Bees,2020
"Comedy,Romance",5.4,true,44,Krishna and His Leela,2020
Comedy,6.9,true,44,Vir Das: Outside in - The Lockdown Special,2020
Comedy,6.4,true,44,Hazel Brugger: Tropical,2020
Horror,4.8,true,44,The Rope Curse 2,2020
Documentary,6.5,true,44,From Stress To Happiness,2020
"Drama,Romance",6.5,true,44,"Story of Kale: When Someone's in Love",2020
Drama,5.6,true,44,"Girl's Revenge",2020
,,true,43,"Ma Rainey's Black Bottom: A Legacy Brought to Screen",2020
Documentary,6.7,true,43,Andre and His Olive Tree,2020
"Comedy,Drama,Romance",3.6,true,43,Jai Mummy Di,2020
"Action,Drama,Fantasy,Sci-Fi,Thriller",5.2,true,43,Monster Run,2020
"Documentary,Music",6.9,true,43,Bigflo & Oli: Hip Hop Frenzy,2020
"Crime,Drama,Thriller",4.4,true,43,U-Turn,2020
"Fantasy,Romance",,true,43,A Choo,2020
"Action,Adventure,Drama",5.5,true,43,The Lost Okoroshi,2020
Drama,4.9,true,43,Camellia Sisters,2020
Comedy,5.5,true,43,"Rob Schneider: Asian Momma, Mexican Kids",2020
"Documentary,Short",,true,43,Zulu Man in Japan,2020
"Drama,History,Sport,War",4.9,true,43,The Match,2020
"Comedy,Drama",3,true,43,Indoo Ki Jawani,2020
"Comedy,Drama",3,true,43,Hospital,2020
"Comedy,Sci-Fi",2.5,true,43,Holiday on Mars,2020
Drama,6.1,true,43,Illegal Woman,2020
"Animation,Adventure,Comedy,Family",6.3,true,43,Octonauts and the Caves of Sac Actun,2020
Action,3.2,true,43,Rogue Warfare: Death of a Nation,2020
Documentary,7.3,true,42,Islands of Faith,2020
Drama,6.3,true,42,Notes for My Son,2020
"Animation,Action,Adventure,Comedy",6.2,true,42,"Horrid Henry's Gross Day Out",2020
