Genres,IMDb,Netflix,Rotten Tomatoes,Title,Year,_id
Talk-Show,,true,21,The Circle: The Afterparty,2021,6165e0ee8a2fde8299a2e033
Talk-Show,,true,20,The Upshaws - The Afterparty,2021,6165e0ee8a2fde8299a2e034
"Animation,Action,Adventure,Comedy,Family,Fantasy,Romance",,true,16,D.O.D.: Day of Destiny,2021,6165e0ee8a2fde8299a2e037
"Musical,Romance",,true,15,Time To Dance,2021,6165e0ee8a2fde8299a2e038
,,true,12,Ratones Paranoicos: The Band that Rocked Argentina,2021,6165e0ee8a2fde8299a2e04d
Drama,8.2,true,,Squid Game,2021,6165e0ef8a2fde8299a2f829
Drama,7.8,true,,Midnight Mass,2021,6165e0ef8a2fde8299a2f82a
"Comedy, Drama, Sport",8.3,true,,Only Murders in the Building,2021,6165e0ef8a2fde8299a2f82e
"Drama, Sci-Fi",7.1,true,,Nine Perfect Strangers,2021,6165e0ef8a2fde8299a2f82f
"Drama, Mystery, Thriller",8,true,,The Chestnut Man,2021,6165e0ef8a2fde8299a2f832
"Crime, Drama, Mystery, Thriller",7.3,true,,Clickbait,2021,6165e0ef8a2fde8299a2f836
"Crime, Drama",7,true,,Braqueurs,2021,6165e0ef8a2fde8299a2f843
"Drama, Horror, Mystery",5.3,true,,Sex/Life,2021,6165e0ef8a2fde8299a2f850
"Drama, Mystery",5.7,true,,Jaguar,2021,6165e0ef8a2fde8299a2f855
"Drama, Thriller",7.2,true,,Brand New Cherry Flavor,2021,6165e0ef8a2fde8299a2f864
"Crime, Drama, Thriller",7.7,true,,Shadow and Bone,2021,6165e0ef8a2fde8299a2f86e
"Adventure, Drama, Fantasy, Mystery",9,true,,Gaetmaeul Chachacha,2021,6165e0ef8a2fde8299a2f876
Drama,7.2,true,,The Chair,2021,6165e0ef8a2fde8299a2f878
"Comedy, Romance",8.4,true,,D.P.,2021,6165e0ef8a2fde8299a2f879
"Comedy, Drama, Romance",7.5,true,,Lupin,2021,6165e0ef8a2fde8299a2f880
"Drama, Fantasy, Horror, Mystery, Thriller",6.5,true,,On the Verge,2021,6165e0ef8a2fde8299a2f882
"Comedy, Drama, Family",7.9,true,,Sweet Tooth,2021,6165e0ef8a2fde8299a2f88d
"Drama, Fantasy, Sci-Fi, Thriller",6.2,true,,Monsters Inside: The 24 Faces of Billy Milligan,2021,6165e0ef8a2fde8299a2f88e
"Comedy, Drama, Romance",6.3,true,,Q-Force,2021,6165e0ef8a2fde8299a2f88f
"Animation, Action, Adventure, Drama, Fantasy, Sci-Fi",5.3,true,,Chicago Party Aunt,2021,6165e0ef8a2fde8299a2f8a2
Drama,7.5,true,,Ginny & Georgia,2021,6165e0ef8a2fde8299a2f8a8
"Comedy, Fantasy",7.1,true,,Hit and Run,2021,6165e0ef8a2fde8299a2f8a9
"Comedy, Musical",6.2,true,,He-Man and the Masters of the Universe,2021,6165e0ef8a2fde8299a2f8b7
"Animation, Comedy",7.2,true,,Behind Her Eyes,2021,6165e0ef8a2fde8299a2f8bb
"Drama, Mystery, Thriller",7.4,true,,Crime Stories: India Detectives,2021,6165e0ef8a2fde8299a2f8be
"Documentary, Reality-TV",8.5,true,,Binsenjo,2021,6165e0ef8a2fde8299a2f8c8
"Comedy, Drama, Romance",7.6,true,,The Serpent,2021,6165e0ef8a2fde8299a2f8c9
