Genres,IMDb,Netflix,Rotten Tomatoes,Title,Year,_id
Comedy,5.9,true,69,"Frankenstein's Monster's Monster, Frankenstein",2019,616528458a2fde8299a2acbe
"Drama,Thriller",8.2,true,69,Disclosure,2020,616528458a2fde8299a2acc1
"Action,Crime,Sci-Fi,Thriller",6,true,69,Project Power,2020,616528458a2fde8299a2acca
Comedy,6.8,true,69,Death to 2020,2020,616528458a2fde8299a2acda
"Documentary,Biography,History",7,true,69,The Great Hack,2019,616528458a2fde8299a2acdc
"Animation,Short,Drama",7.8,true,69,If Anything Happens I Love You,2020,616528458a2fde8299a2ace4
"Crime,Drama,Horror,Thriller",6.3,true,69,The Forest of Love,2019,616528458a2fde8299a2ace7
Documentary,8,true,68,The Silence of Others,2019,616528458a2fde8299a2acf0
Drama,7.5,true,68,Rocks,2020,616528458a2fde8299a2acf4
Documentary,6.7,true,68,Giving Voice,2020,616528458a2fde8299a2acf6
"Animation,Action,Adventure,Family,Fantasy,Thriller",7.5,true,68,Ne Zha,2019,616528458a2fde8299a2acfd
"Action,Comedy,Crime,Drama",7.6,true,68,Ludo,2020,616528458a2fde8299a2ad00
"Documentary,Biography,History,Music",7.6,true,68,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,2019,616528458a2fde8299a2ad03
"Documentary,Crime",7.2,true,68,American Murder: The Family Next Door,2020,616528458a2fde8299a2ad06
"Drama,Romance",5.2,true,68,After We Collided,2020,616528458a2fde8299a2ad0b
"Comedy,Drama,Romance",6,true,68,To All the Boys: P.S. I Still Love You,2020,616528458a2fde8299a2ad0e
"Action,Crime,Drama,Romance,Thriller",6.5,true,68,Malang,2020,616528458a2fde8299a2ad0f
"Comedy,Romance",6.2,true,68,Someone Great,2019,616528458a2fde8299a2ad10
"Drama,Romance",6.5,true,67,All the Bright Places,2020,616528458a2fde8299a2ad1c
Drama,6.7,true,67,18 Presents,2020,616528458a2fde8299a2ad25
"Documentary,Crime,Sport",7.6,true,67,Athlete A,2020,616528458a2fde8299a2ad2a
"Comedy,Romance",5.8,true,67,The Kissing Booth 2,2020,616528458a2fde8299a2ad32
"Animation,Adventure,Comedy,Family",6.4,true,67,The Angry Birds Movie 2,2019,616528458a2fde8299a2ad3b
"Documentary,Music",8.5,true,67,"Emicida: AmarElo - It's All for Yesterday",2020,616528458a2fde8299a2ad44
"Comedy,Drama,Romance",5.5,true,67,Ek Ladki Ko Dekha Toh Aisa Laga,2019,616528458a2fde8299a2ad48
"Documentary,Sport",8.1,true,67,Rising Phoenix,2020,616528458a2fde8299a2ad4a
"Action,Adventure,Sci-Fi,Thriller",6.9,true,67,"The Wolf's Call",2019,616528458a2fde8299a2ad4b
"Comedy,Family,Musical",7.5,true,67,John Mulaney & The Sack Lunch Bunch,2019,616528458a2fde8299a2ad4d
"Adventure,Drama,Thriller",6.4,true,67,The Occupant,2020,616528458a2fde8299a2ad50
Drama,6.9,true,67,The Body Remembers When the World Broke Open,2019,616528458a2fde8299a2ad51
"Drama,Romance,Thriller",6.6,true,66,Ophelia,2019,616528458a2fde8299a2ad64
Documentary,7.1,true,66,Tread,2020,616528458a2fde8299a2ad71
Comedy,6.5,true,66,Kevin Hart: Irresponsible,2019,616528458a2fde8299a2ad73
"Horror,Mystery,Sci-Fi,Thriller",5.4,true,66,In the Tall Grass,2019,616528458a2fde8299a2ad74
"Action,Comedy,Crime,Mystery,Romance,Thriller",6.1,true,66,The Lovebirds,2020,616528458a2fde8299a2ad7a
"Biography,Drama,History,Romance",6.1,true,66,Sergio,2020,616528458a2fde8299a2ad7c
"Adventure,Comedy,Drama",7,true,66,Then Came You,2019,616528458a2fde8299a2ad7f
"Comedy,Reality-TV",5.9,true,66,Jenny Slate: Stage Fright,2019,616528458a2fde8299a2ad81
Drama,6.4,true,66,Lingua Franca,2020,616528458a2fde8299a2ad8b
"Drama,Sport",6.2,true,66,High Flying Bird,2019,616528458a2fde8299a2ad8e
"Drama,Horror,Sci-Fi,Thriller",5.3,true,65,The Silence,2019,616528458a2fde8299a2ad92
"Short,Comedy,Music,Sport",6.9,true,65,The Lonely Island Presents: The Unauthorized Bash Brothers Experience,2019,616528458a2fde8299a2ad9d
"Action,Drama,Thriller",5.7,true,65,Close,2019,616528458a2fde8299a2ada2
"Comedy,Drama,Musical",5.9,true,65,The Prom,2020,616528458a2fde8299a2ada5
